iter	Passed	Remaining
868	22260	3355
869	22292	3331
870	22326	3306
871	22355	3281
872	22381	3255
873	22406	3230
874	22432	3204
875	22457	3178
876	22478	3152
877	22503	3126
878	22530	3101
879	22557	3075
880	22578	3049
881	22604	3024
882	22628	2998
883	22654	2972
884	22685	2947
885	22752	2927
886	22776	2901
887	22804	2876
888	22828	2850
889	22850	2824
890	22873	2798
891	22901	2772
892	22928	2747
893	22957	2722
894	22984	2696
895	23009	2670
896	23038	2645
897	23063	2619
898	23092	2594
899	23117	2568
900	23143	2542
901	23168	2517
902	23196	2491
903	23219	2465
904	23244	2439
905	23266	2413
906	23287	2387
907	23314	2362
908	23338	2336
909	23362	2310
910	23387	2284
911	23413	2259
912	23435	2233
913	23457	2207
914	23481	2181
915	23505	2155
916	23532	2129
917	23557	2104
918	23583	2078
919	23605	2052
920	23632	2027
921	23658	2001
922	23684	1975
923	23713	1950
924	23739	1924
925	23765	1899
926	23791	1873
927	23816	1847
928	23847	1822
929	23871	1796
930	23896	1771
931	23922	1745
932	23948	1719
933	23973	1694
934	23995	1668
935	24018	1642
936	24044	1616
937	24068	1590
938	24093	1565
939	24121	1539
940	24146	1513
941	24170	1488
942	24198	1462
943	24224	1437
944	24252	1411
945	24277	1385
946	24305	1360
947	24330	1334
948	24356	1308
949	24380	1283
950	24407	1257
951	24430	1231
952	24455	1206
953	24481	1180
954	24507	1154
955	24531	1129
956	24558	1103
957	24583	1077
958	24613	1052
959	24641	1026
960	24666	1001
961	24692	975
962	24713	949
963	24733	923
964	24761	898
965	24785	872
966	24808	846
967	24838	821
968	24861	795
969	24883	769
970	24909	743
971	24935	718
972	24955	692
973	24978	666
974	25004	641
975	25029	615
976	25054	589
977	25079	564
978	25102	538
979	25125	512
980	25153	487
981	25177	461
982	25204	435
983	25226	410
984	25254	384
985	25278	358
986	25302	333
987	25326	307
988	25349	281
989	25374	256
990	25399	230
991	25426	205
992	25455	179
993	25480	153
994	25502	128
995	25526	102
996	25553	76
997	25572	51
998	25596	25
999	25618	0
